,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
95,Ruby on Rails Developer (ROR),Incedo Technology Solutions Ltd.,Delhi NCR,3-8 Yrs,"('IT Skills', 'Python', 'Cloud', 'DevOps', 'Jenkins', 'RubyonRails', 'Subversion', 'Ember.Js')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ruby-on-rails-developer-ror-incedo-technology-solutions-ltd-delhi-ncr-3-to-8-years-211020003259?src=jobsearchDesk&sid=16075336004096002&xp=16&px=5,PREMIUM,"Some experience with Subversion, Mercurial, Docker, Maven etc would be usefulDevelopmen..."
96,Remote Web Developer,MonetizeMore,Ahmedabad,8-10 Yrs,"('GIT', 'Linux', 'Conflict management', 'Postgresql', 'Analytical', 'Web development', 'Javascript', 'Manager Technology')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-remote-web-developer-monetizemore-ahmedabad-8-to-10-years-200819500643?src=jobsearchDesk&sid=16075336004096002&xp=17&px=5,NULL,Technology ExperiencedMonetizeMore builds industry leading ad technology that is seen b...
97,Sr API Developer,Larsen & Toubro Infotech Limited,India,4-9 Yrs,"('MS SQL', 'Javascript', 'Agile', 'XSLT', 'Scrum', 'MongoDB', 'Test cases', 'Visio')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-api-developer-larsen-toubro-infotech-limited-india-4-to-9-years-161020500071?src=jobsearchDesk&sid=16075336004096002&xp=18&px=5,NULL,Design and development of different integration use cases. Work with functional and tec...
98,Full Stack Developer,HyreFox Consultants Pvt Ltd,Indore,2-5 Yrs,"('GIT', 'Postgresql', 'MySQL', 'Javascript', 'PHP', 'MongoDB', 'Oracle', 'Ruby')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-hyrefox-consultants-pvt-ltd-indore-2-to-5-years-160119500568?src=jobsearchDesk&sid=16075336004096002&xp=19&px=5,NULL,Experience with cloud message APIs and usage of push notificationsProficient experience...
99,Python Full Stack Developer - MongoDB/ Docker/ Kubernetes,Wrackle Technologies Pvt Ltd,Bengaluru,3-8 Yrs,"('RabbitMQ', 'Multithreading', 'Git', 'Docker', 'TDD', 'Microservices Architecture', 'Kafka', 'MongoDB')",26 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-full-stack-developer-mongodb-docker-kubernetes-wrackle-technologies-pvt-ltd-bengaluru-bangalore-3-to-8-years-131120902092?src=jobsearchDesk&sid=16075336004096002&xp=20&px=5,PREMIUM,Who are we looking for: - Bachelors / Masters in Computer Science or equivalent with at...
100,Sr. Fullstack Developer - UK Shift,Enzen Global Solutions,Bengaluru,4-5 Yrs,"('GIT', 'Time management', 'Postgresql', 'Django', 'Corporate', 'Manager Technology', 'Javascript', 'MongoDB')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-fullstack-developer-uk-shift-enzen-global-solutions-bengaluru-bangalore-4-to-5-years-120520500514?src=jobsearchDesk&sid=1607533790253664&xp=1&px=6,PREMIUM,Highlight: fellowship and good mood
101,Sr. Backend Developer - UK Shift,Enzen Global Solutions,Bengaluru,3-7 Yrs,"('Backend', 'GIT', 'Time management', 'Postgresql', 'Corporate', 'Manager Technology', 'Data processing', 'MongoDB')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-backend-developer-uk-shift-enzen-global-solutions-bengaluru-bangalore-3-to-7-years-120520500513?src=jobsearchDesk&sid=1607533790253664&xp=2&px=6,NULL,Highlight: fellowship and good mood
102,Full Stack Software Developer,Zippr.in,Hyderabad,3-8 Yrs,"('Prototype', 'GIT', 'NoSQL', 'Linux', 'nginx', 'Analytical', 'Javascript', 'server side programming')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-software-developer-zippr-in-hyderabad-secunderabad-3-to-8-years-120320501808?src=jobsearchDesk&sid=1607533790253664&xp=3&px=6,NULL,Zippr is looking for a strong hands-on rockstar developer who can work on web technolog...
103,Full Stack Developer,KSP HR Solutions,Noida,1-5 Yrs,"('Front end', 'GIT', 'Postgresql', 'MySQL', 'Javascript', 'PHP', 'HTML', 'MongoDB')",28 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-ksp-hr-solutions-noida-1-to-5-years-111120501558?src=jobsearchDesk&sid=1607533790253664&xp=4&px=6,NULL,Graduate BTech Proficient experience using advanced JavaScript libraries and frameworks...
104,Senior Software Engineer - DevOps,Cornerstone Talent Solutions,Pune,3-8 Yrs,"('Automation', 'Linux', 'Data management', 'Performance management', 'devops', 'Postgresql', 'Shell scripting', 'Agile')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-devops-cornerstone-talent-solutions-pune-3-to-8-years-061020501226?src=jobsearchDesk&sid=1607533790253664&xp=5&px=6,PREMIUM,"We're looking for a Senior Software Engineer - DevOps (Pune, India) In this role you wi..."
105,ElasticSearch Developer,Diverse Lynx,Pune,2-6 Yrs,"('IT Skills', 'Java', 'Python', 'Elastic Search', 'Computer science', 'Linux', 'Shell scripting', 'Data processing')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-elasticsearch-developer-diverse-lynx-pune-2-to-6-years-060520500485?src=jobsearchDesk&sid=1607533790253664&xp=6&px=6,PREMIUM,. ElasticSearch (Search and Analytics) Developers Work on a wide variety of open source...
106,Developer,T & A Solutions,Chandigarh,2-5 Yrs,"('assembly language', 'C', 'android', 'Developer', 'HTML', 'ios', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-t-a-solutions-chandigarh-2-to-5-years-060117500370?src=jobsearchDesk&sid=1607533790253664&xp=7&px=6,NULL,"Job Profile: - Experience of working with web services APIs, some understanding of fron..."
107,Senior Developer,Impact HR Services Pvt.Ltd.,"Mumbai, Bengaluru",5-10 Yrs,"('Data Engineering', 'Linux', 'Shell Scripting', 'MySQL', 'Kafka', 'MongoDB', 'SQL Server', 'Storage Testing')",30+ DAYS AGO,2020-12-09,"15,00,000 - 30,00,000 PA.",https://www.naukri.com/job-listings-senior-developer-impact-hr-services-pvt-ltd-mumbai-bengaluru-bangalore-5-to-10-years-031120004518?src=jobsearchDesk&sid=1607533790253664&xp=8&px=6,PREMIUM,"Understanding of ETL - with Streaming & Batch processing (Real-time, Non-Realtime) Educ..."
108,Java Developers,Mindfire Solutions,Noida,2-6 Yrs,"('assembly language', 'server', 'C', 'code', 'software', 'HTML', 'hibernate', 'tools')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-java-developers-mindfire-solutions-noida-2-to-6-years-030717500139?src=jobsearchDesk&sid=1607533790253664&xp=9&px=6,NULL,"• Work with product owners, architects, developers, testers and other stake holders in ..."
109,iOS App Developers,Mindfire Solutions,Noida,2-7 Yrs,"('assembly language', 'algorithms', 'C', 'code', 'methods', 'HTML', 'ios', 'tools')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ios-app-developers-mindfire-solutions-noida-2-to-7-years-030717500128?src=jobsearchDesk&sid=1607533790253664&xp=10&px=6,NULL,"• Work with product owners, architects, developers, testers and other stake holders in ..."
110,Android App Developers,Mindfire Solutions,Noida,2-5 Yrs,"('assembly language', 'algorithms', 'C', 'code', 'software', 'android', 'HTML', 'tools')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-android-app-developers-mindfire-solutions-noida-2-to-5-years-030717500125?src=jobsearchDesk&sid=1607533790253664&xp=11&px=6,NULL,"• Work with product owners, architects, developers, testers and other stake holders in ..."
111,Software Developers,IT BYTES,Dehradun,2-4 Yrs,"('assembly language', 'css', 'C', 'software', 'HTML', 'ajax', 'jquery', 'Software Developers')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developers-it-bytes-dehradun-2-to-4-years-030217502855?src=jobsearchDesk&sid=1607533790253664&xp=12&px=6,NULL,Software developers required with 2 to 4 years of experiece. Requirements • Qualificati...
112,Developer (JavaScripter),Pencil Point Designs,Mumbai,5-10 Yrs,"('assembly language', 'JavaScripter', 'css', 'C', 'Developer', 'HTML', 'graphics')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-javascripter-pencil-point-designs-mumbai-5-to-10-years-030217501558?src=jobsearchDesk&sid=1607533790253664&xp=13&px=6,NULL,"Knowledgeable of js libraries like Angular.js, Grunt.js, jQuery.js, bootstrap.js, backb..."
113,PHP Developer,Line Focus Technologies Pvt. Ltd,Chennai,2-5 Yrs,"('assembly language', 'C', 'developing', 'HTML', 'ajax', 'jquery', 'PHP Developer', 'web')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-line-focus-technologies-pvt-ltd-chennai-2-to-5-years-030217501392?src=jobsearchDesk&sid=1607533790253664&xp=14&px=6,NULL,"• Excellent knowledge in Core PHP, MYSQL. • Experience with atleast one PHP MVC framewo..."
114,UI Developer,Cartesian IT Solutions LLP,Hyderabad,4-7 Yrs,"('assembly language', 'css', 'C', 'HTML', 'ajax', 'tools', 'jquery', 'java')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ui-developer-cartesian-it-solutions-llp-hyderabad-secunderabad-4-to-7-years-030217500646?src=jobsearchDesk&sid=1607533790253664&xp=15&px=6,NULL,"Primary Skill set - Very strong HTML, CSS, Java Script, Object Oriented Java Script Exp..."
115,iOS Developer,Skybridge Infotech,Coimbatore,4-9 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ios', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ios-developer-skybridge-infotech-coimbatore-4-to-9-years-030217500395?src=jobsearchDesk&sid=1607533790253664&xp=16&px=6,NULL,"Knowledge of core concepts, Object- Oriented programming, multi- threading, MVC. Best p..."
116,"Software Engineer-Python,Django",Techversant Infotech,"Chennai, Kochi",1-2 Yrs,"('IT Skills', 'Python', 'HTML', 'CSS', 'Javascript', 'AWS', 'jQuery', 'GIT')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-python-django-techversant-infotech-chennai-ernakulam-kochi-cochin-1-to-2-years-020720501022?src=jobsearchDesk&sid=1607533790253664&xp=17&px=6,NULL,"Perks based on performance such as salary hike, Work from home, flexible work timings, ..."
117,Senior Software Engineer,SimpleeKare Health Pvt Ltd,Bhubaneshwar,3-8 Yrs,"('Unix', 'c++', 'code', 'technical', 'software', 'developing', 'mca', 'cloud')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-simpleekare-health-pvt-ltd-bhubaneshwar-3-to-8-years-010518500717?src=jobsearchDesk&sid=1607533790253664&xp=18&px=6,NULL,Must have excellent problem solving skills and love technical challenges MCA Responsibi...
118,Python Developer,DECIMAL POINT ANALYTICS PRIVATE LIMITED,Mumbai,0-1 Yrs,"('python', 'database', 'django', 'html5', 'MySQL', 'MongoDB', 'flask', 'css3')",9 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-decimal-point-analytics-private-limited-mumbai-0-to-1-years-301120602131?src=jobsearchDesk&sid=1607533790253664&xp=19&px=6,PREFERRED,Good python knowledgeStrong Logic building abilities. Positive and flexible attitude to...
119,Sr. Python Developer,DECIMAL POINT ANALYTICS PRIVATE LIMITED,Mumbai,2-3 Yrs,"('python', 'django', 'Design Patterns', 'mysql', 'MongoDB', 'AWS', 'res api')",9 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-python-developer-decimal-point-analytics-private-limited-mumbai-2-to-3-years-301120602120?src=jobsearchDesk&sid=1607533790253664&xp=20&px=6,PREFERRED,Roles & Responsibilities Coding Code review and following design patternsdatabase devel...
120,Sr. Python Developer,DECIMAL POINT ANALYTICS PRIVATE LIMITED,Mumbai,2-3 Yrs,"('python', 'django', 'Design Patterns', 'mysql', 'MongoDB', 'AWS', 'res api')",9 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-python-developer-decimal-point-analytics-private-limited-mumbai-2-to-3-years-301120602120?src=jobsearchDesk&sid=16075339423579520&xp=1&px=7,PREFERRED,Roles & Responsibilities Coding Code review and following design patternsdatabase devel...
121,Hiring For Python Developer in product based company in Hyderabad,Foray Software Pvt Ltd,"Chennai, Bengaluru, Hyderabad",7-12 Yrs,"('UI/UX', 'Django', 'APIs', 'MongoDB', 'python Developer', 'Python', 'SQL', 'RESTful')",9 DAYS AGO,2020-12-09,"5,00,000 - 15,00,000 PA.",https://www.naukri.com/job-listings-hiring-for-python-developer-in-product-based-company-in-hyderabad-foray-software-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-7-to-12-years-301120002167?src=jobsearchDesk&sid=16075339423579520&xp=2&px=7,HOT JOB,"Hi Everyone, Greetings from Foray software Please find below JD: Must have around 7+ ye..."
122,Urgent Opening For Python Developer,Abzooba India Infotech Private Limited,"Pune, Kolkata",3-7 Yrs,"('Jenkins', 'Azure', 'Linux', 'GCP', 'Cloud Services', 'Relational Databases', 'AWS', 'Numpy')",13 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-urgent-opening-for-python-developer-abzooba-india-infotech-private-limited-pune-kolkata-3-to-7-years-261120605317?src=jobsearchDesk&sid=16075339423579520&xp=3&px=7,NULL,3-4 years of experience as Python developer and/or server-side coding Prior experience ...
123,Urgent Opening For Python Developer,Abzooba India Infotech Private Limited,"Pune, Kolkata",3-7 Yrs,"('Jenkins', 'Azure', 'Linux', 'GCP', 'Cloud Services', 'Relational Databases', 'AWS', 'Numpy')",13 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-urgent-opening-for-python-developer-abzooba-india-infotech-private-limited-pune-kolkata-3-to-7-years-261120005315?src=jobsearchDesk&sid=16075339423579520&xp=4&px=7,HOT JOB,3-4 years of experience as Python developer and/or server-side coding Prior experience ...
124,Python Django Developer,Metagogy Learning Systems Pvt Ltd,Hyderabad,1-5 Yrs,"('Django-REST', 'Django', 'Python', 'Accessibility', 'Html5', 'ORM', 'Machine Learning', 'Microservices')",13 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-django-developer-metagogy-learning-systems-pvt-ltd-hyderabad-secunderabad-1-to-5-years-261120001690?src=jobsearchDesk&sid=16075339423579520&xp=5&px=7,HOT JOB,"Job descriptionDear Candidate, We are currently looking for a smart and self-motivated ..."
125,Python Developer,ENCORA INNOVATION LABS INDIA PRIVATE LIMITED,Bengaluru,8-13 Yrs,"('RDBMS', 'data structure', 'Mongo DB', 'data pipeline', 'Data Analytics', 'NO SQL', 'Python', 'algorithm')",15 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-encora-innovation-labs-india-private-limited-bengaluru-bangalore-8-to-13-years-241120604486?src=jobsearchDesk&sid=16075339423579520&xp=6&px=7,PREFERRED,Looking for a Data Engineer to build and support the Data Analytics Platform. Develop a...
126,Python Developer,ENCORA INNOVATION LABS INDIA PRIVATE LIMITED,Bengaluru,8-13 Yrs,"('RDBMS', 'data structure', 'Mongo DB', 'data pipeline', 'Data Analytics', 'NO SQL', 'Python', 'algorithm')",15 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-encora-innovation-labs-india-private-limited-bengaluru-bangalore-8-to-13-years-241120005555?src=jobsearchDesk&sid=16075339423579520&xp=7&px=7,PREMIUM,Looking for a Data Engineer to build and support the Data Analytics Platform. Develop a...
127,Python Developer,BigStep Technologies Pvt. Ltd.,Gurgaon,4-7 Yrs,"('Rabbitmq', 'Software Development', 'Celery', 'Django', 'Postgresql', 'Go', 'Redis', 'MongoDB')",15 DAYS AGO,2020-12-09,"7,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-python-developer-bigstep-technologies-pvt-ltd-gurgaon-4-to-7-years-241120002001?src=jobsearchDesk&sid=16075339423579520&xp=8&px=7,HOT JOB,*Work remotely / Work From Home with BigStep Technologies throughout your tenureAbility...
128,Sr. Python Developer,Cyber Infrastructure (P) Limited,Indore,4-6 Yrs,"('Angularjs', 'CSS', 'Postgresql', 'HTML', 'NoSQL', 'Django', 'MySQL', 'Stripe')",7 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-python-developer-cyber-infrastructure-p-limited-indore-4-to-6-years-231020005178?src=jobsearchDesk&sid=16075339423579520&xp=9&px=7,HOT JOB,"Proactive self-starter, with minimum guidance or management requiredServer skills : - M..."
129,Python Developer,VELOCIX SOLUTIONS INDIA LLP,Chennai,3-8 Yrs,"('Multithreading', 'GIT', 'Linux', 'Continuous Integration', 'Continuous Delivery', 'RTSP', 'HTTP', 'Threading')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-velocix-solutions-india-llp-chennai-3-to-8-years-180220003705?src=jobsearchDesk&sid=16075339423579520&xp=10&px=7,PREFERRED,Description of the role: We are looking for an experienced development engineer in Pyth...
130,Python Developer - AWS/Flask/Django,Mirabel Technologies Pvt. Ltd.,Hyderabad,1-2 Yrs,"('Linux OS', 'Django', 'Data Mining', 'MongoDB', 'Algorithm', 'AWS', 'ELK Stack', 'Machine Learning')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-aws-flask-django-mirabel-technologies-pvt-ltd-hyderabad-secunderabad-1-to-2-years-091220906858?src=jobsearchDesk&sid=16075339423579520&xp=11&px=7,HOT JOB,Team spirit and Good problem-solving skillsRequirements : Minimum 2-4 plus years of sol...
131,Lead Python/ Django Developer - React.js/ MongoDB/ AngualrJS,MODISTABOX,Bengaluru,6-8 Yrs,"('AngularJS', 'REST API', 'Payment Gateway', 'Django', 'MySQL', 'Google Cloud Platform', 'Webservices Integration', 'MongoDB')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-lead-python-django-developer-react-js-mongodb-angualrjs-modistabox-bengaluru-bangalore-6-to-8-years-091220906543?src=jobsearchDesk&sid=16075339423579520&xp=12&px=7,HOT JOB,"Job Responsibilities:- Understand project requirements, writing bug free clean code and..."
132,Angular / Python Fullstack Developer,Prodapt Solutions Private Limited,Chennai,3-8 Yrs,"('Angularjs', 'Application Deployment', 'java', 'Linux', 'MySQL', 'Integration Testing', 'PHP', '.net')",NULL,2020-12-09,"3,00,000 - 8,00,000 PA.",https://www.naukri.com/job-listings-angular-python-fullstack-developer-prodapt-solutions-private-limited-chennai-3-to-8-years-091220602716?src=jobsearchDesk&sid=16075339423579520&xp=13&px=7,NULL,"Experience in the development of mobile applicationsExperience in cloud (AWS, Azure, GC..."
133,Angular / Python Fullstack Developer,Prodapt Solutions Private Limited,Chennai,3-8 Yrs,"('Angularjs', 'Application Deployment', 'java', 'Linux', 'MySQL', 'Integration Testing', 'PHP', '.net')",NULL,2020-12-09,"3,00,000 - 8,00,000 PA.",https://www.naukri.com/job-listings-angular-python-fullstack-developer-prodapt-solutions-private-limited-chennai-3-to-8-years-091220002714?src=jobsearchDesk&sid=16075339423579520&xp=14&px=7,PREFERRED,"Experience in the development of mobile applicationsExperience in cloud (AWS, Azure, GC..."
134,Hiring For Python Developer in product based company in Hyderabad,Foray Software Pvt Ltd,"Chennai, Bengaluru, Hyderabad",7-12 Yrs,"('UI/UX', 'Django', 'APIs', 'MongoDB', 'python Developer', 'Python', 'SQL', 'RESTful')",NULL,2020-12-09,"5,00,000 - 15,00,000 PA.",https://www.naukri.com/job-listings-hiring-for-python-developer-in-product-based-company-in-hyderabad-foray-software-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-7-to-12-years-081220005858?src=jobsearchDesk&sid=16075339423579520&xp=15&px=7,HOT JOB,"Hi Everyone, Greetings from Foray software Please find below JD: Must have around 7+ ye..."
135,"Urgent Opening For Python developer For Muvi,Bhubaneswar",MUVI Entertainment Pvt. Ltd.,Bhubaneshwar,2-6 Yrs,"('Django', 'Python', 'Pyramid', 'GIT', 'Front End', 'Postgresql', 'Continuous Integration', 'MySQL')",15 DAYS AGO,2020-12-09,"2,50,000 - 5,50,000 PA.",https://www.naukri.com/job-listings-urgent-opening-for-python-developer-for-muvi-bhubaneswar-muvi-entertainment-pvt-ltd-bhubaneshwar-2-to-6-years-050919004562?src=jobsearchDesk&sid=16075339423579520&xp=16&px=7,HOT JOB,Experience with distributed architectures and measuring system performance metricsand P...
136,Python Developer,DECIMAL POINT ANALYTICS PRIVATE LIMITED,"Nasik, Mumbai",1-2 Yrs,"('python', 'django', 'mysql', 'MongoDB', 'aws', 'res api')",5 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-decimal-point-analytics-private-limited-nasik-mumbai-1-to-2-years-041220603810?src=jobsearchDesk&sid=16075339423579520&xp=17&px=7,PREFERRED,Also the person should have good understanding of object oriented design and design pat...
137,Hiring For Python Developer in product based company in Hyderabad,Foray Software Pvt Ltd,"Chennai, Bengaluru, Hyderabad",7-12 Yrs,"('UI/UX', 'Django', 'APIs', 'MongoDB', 'python Developer', 'Python', 'SQL', 'RESTful')",5 DAYS AGO,2020-12-09,"5,00,000 - 15,00,000 PA.",https://www.naukri.com/job-listings-hiring-for-python-developer-in-product-based-company-in-hyderabad-foray-software-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-7-to-12-years-041220005339?src=jobsearchDesk&sid=16075339423579520&xp=18&px=7,HOT JOB,"Hi Everyone, Greetings from Foray software Please find below JD: Must have around 7+ ye..."
138,Urgent requirement - Python Developer/Lead/Architect-Bangalore,Attra Infotech Pvt Ltd,Bengaluru,6-11 Yrs,"('Django', 'Postgresql', 'Python', 'Front End', 'GIT', 'Accessibility', 'Html5', 'Web Technologies')",7 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-urgent-requirement-python-developer-lead-architect-bangalore-attra-infotech-pvt-ltd-bengaluru-bangalore-6-to-11-years-021220002640?src=jobsearchDesk&sid=16075339423579520&xp=19&px=7,HOT JOB,Proficient understanding of code versioning tools {{such as Experience : 6 - 18 years P...
139,AI Stack Developer,Talent Corner HR Services Pvt Ltd,Mumbai,3-8 Yrs,"('IT Skills', 'Java', 'Python', 'Elastic Search', 'Javascript', 'AWS', 'redux', 'webservices')",30+ DAYS AGO,2020-12-09,"9,00,000 - 18,00,000 PA.",https://www.naukri.com/job-listings-ai-stack-developer-talent-corner-hr-services-pvt-ltd-mumbai-3-to-8-years-281020605087?src=jobsearchDesk&sid=16075339423579520&xp=20&px=7,PREFERRED,Knowledge of implementing ML based models using python- based APIs and AWS services. A ...
140,Full Stack Developer | Analytics Consulting Company,Unnati,Bengaluru,3-7 Yrs,"('IT Skills', 'Python', 'Software Development', 'CI / CD', 'OAuth2', 'APIs', 'Prometheus', 'Redis')",30+ DAYS AGO,2020-12-09,"15,00,000 - 20,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-analytics-consulting-company-unnati-bengaluru-bangalore-3-to-7-years-281020603274?src=jobsearchDesk&sid=16075340323436162&xp=1&px=8,NULL,"To get transparent and quick status update, apply on :https://rb.gy/pul1ldDo you want t..."
141,Full Stack Developer | Analytics Consulting Company,Unnati,Bengaluru,3-5 Yrs,"('CI / CD', 'OAuth2', 'APIs', 'Prometheus', 'Redis', 'Node.js', 'Linux Servers', 'Grafana')",22 DAYS AGO,2020-12-09,"10,00,000 - 20,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-analytics-consulting-company-unnati-bengaluru-bangalore-3-to-5-years-171120602162?src=jobsearchDesk&sid=16075340323436162&xp=2&px=8,NULL,"To get transparent and quick status update, apply on :https://rb.gy/917guwDo you want t..."
142,Full Stack Developer | Analytics Consulting Company,Unnati,Bengaluru,3-5 Yrs,"('CI / CD', 'OAuth2', 'APIs', 'Prometheus', 'Redis', 'Node.js', 'Linux Servers', 'Grafana')",22 DAYS AGO,2020-12-09,"10,00,000 - 20,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-analytics-consulting-company-unnati-bengaluru-bangalore-3-to-5-years-171120002161?src=jobsearchDesk&sid=16075340323436162&xp=3&px=8,PREMIUM,"To get transparent and quick status update, apply on :https://rb.gy/917guwDo you want t..."
143,Immediate opening For Senior Python Developer - Exp: 8 + Yrs...,MS Techminds IT Offshore Services Pvt Ltd,Chennai,8-13 Yrs,"('REST API', 'Python frameworks', 'Azure', 'IT Consulting', 'Big Data', 'Databases and MongoDB', 'Python')",12 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-immediate-opening-for-senior-python-developer-exp-8-yrs-ms-techminds-it-offshore-services-pvt-ltd-chennai-8-to-13-years-271120004345?src=jobsearchDesk&sid=16075340323436162&xp=4&px=8,HOT JOB,"Bachelors degree in Information Technology, Software Engineering, Computer Science, or ..."
144,Full Stack Developer | Analytics Consulting Company,Unnati,Bengaluru,3-7 Yrs,"('CI / CD', 'OAuth2', 'APIs', 'Prometheus', 'Redis', 'Node.js', 'Linux Servers', 'Grafana')",30+ DAYS AGO,2020-12-09,"15,00,000 - 20,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-analytics-consulting-company-unnati-bengaluru-bangalore-3-to-7-years-281020003272?src=jobsearchDesk&sid=16075340323436162&xp=5&px=8,PREMIUM,"To get transparent and quick status update, apply on :https://rb.gy/pul1ldDo you want t..."
145,Python Developer,Core Compete Pvt. Ltd.,"Pune, Hyderabad",4-6 Yrs,"('API', 'AWS', 'Python', 'NoSQL', 'RDBMS', 'Django', 'Data Structures', 'OOAD')",23 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-core-compete-pvt-ltd-pune-hyderabad-secunderabad-4-to-6-years-161120000397?src=jobsearchDesk&sid=16075340323436162&xp=6&px=8,HOT JOB,Should have a good understanding of REST principles using flask or django Mandatory to ...
146,Sr. Backend Developer - Python,intelligent industrial internet systems pvt ltd.,"Mumbai, Bengaluru",3-8 Yrs,"('Data Science', 'Django', 'Python', 'IT Skills', 'Python', 'Software Development', 'Testing', 'Angularjs')",27 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-backend-developer-python-intelligent-industrial-internet-systems-pvt-ltd-mumbai-bengaluru-bangalore-3-to-8-years-121120002963?src=jobsearchDesk&sid=16075340323436162&xp=7&px=8,PREMIUM,It is driven by a technically strong team from IIT and backed by Insurance expertsYou h...
147,Immediate openings For Python developer!!,Bristlecone India Limited,"Pune, Bengaluru",5-10 Yrs,"('Core Java', 'Algorithms', 'NoSQL', 'RDBMS', 'Data Structures', 'OOAD', 'MySQL', 'Cassandra')",22 DAYS AGO,2020-12-09,"10,00,000 - 20,00,000 PA.",https://www.naukri.com/job-listings-immediate-openings-for-python-developer-bristlecone-india-limited-pune-bengaluru-bangalore-5-to-10-years-061020004603?src=jobsearchDesk&sid=16075340323436162&xp=8&px=8,HOT JOB,"JD : Python Developer ( Engg. ) 5+ years of relevant experience in Design, Development,..."
